run_id,program_id,terminal,duration_s,started_at
1776490543-713078,pages--build-path-graph_py,COMPLETE,0.188,2026-04-18T05:35:43Z
1776490542-9acd3c,apps--build-whitepaper-apps_py,COMPLETE,0.235,2026-04-18T05:35:42Z
1776490542-12a82f,components--build-catalog_py,COMPLETE,0.028,2026-04-18T05:35:42Z
1776490333-4a032d,api--build-api_py,COMPLETE,0.005,2026-04-18T05:32:13Z
1776490333-358f81,api--build-csv-catalog_py,COMPLETE,0.012,2026-04-18T05:32:13Z
1776490333-05fa82,api--build-runtime-tags_py,COMPLETE,0.018,2026-04-18T05:32:13Z
1776490333-e2a0c3,api--build-sitemap_py,COMPLETE,0.005,2026-04-18T05:32:13Z
1776490332-5ea1ab,db--build-local-tagdbs_py,COMPLETE,0.606,2026-04-18T05:32:12Z
